Player,W,player_id
Connor Hellebuyck,47,helleco01
Andrei Vasilevskiy,38,vasilan02
Jake Oettinger,36,oettija01
Sergei Bobrovsky,33,bobrose01
Adin Hill,32,hillad01
Sam Montembeault,31,montesa01
Filip Gustavsson,31,gustafi01
Darcy Kuemper,31,kuempda01
Logan Thompson,31,thomplo01
Ilya Sorokin,30,sorokil01
Dustin Wolf,29,wolfdu01
Jordan Binnington,28,binnijo01
Mackenzie Blackwood,28,blackma01
Igor Shesterkin,27,shestig01
Joey Daccord,27,daccojo01
Pyotr Kochetkov,27,kochepy01
Joseph Woll,27,wolljo01
Karel Vejmelka,26,vejmeka01
Elvis Merzlikins,26,merzlel01
Stuart Skinner,26,skinnst01
Jacob Markstrom,26,marksja02
Kevin Lankinen,25,lankike01
Linus Ullmark,25,ullmali01
Ukko-Pekka Luukkonen,24,luukkuk01
Lukas Dostal,23,dostalu01
Jeremy Swayman,22,swaymje01
Samuel Ersson,22,erssosa01
Calvin Pickard,22,pickaca01
Cam Talbot,21,talboca01
Anthony Stolarz,21,stolaan01
Juuse Saros,20,sarosju01
Charlie Lindgren,20,lindgch01
Spencer Knight,17,knighsp01
Tristan Jarry,16,jarrytr01
David Rittich,16,rittida01
Joel Hofer,16,hoferjo01
Ilya Samsonov,16,samsoil01
Alexandar Georgiev,15,georgal01
Justus Annunen,15,annunju01
Alex Nedeljkovic,14,nedelal01
Alex Lyon,14,lyonal01
Casey DeSmith,14,desmica01
Marc-Andre Fleury,14,fleurma01
Scott Wedgewood,14,wedgesc01
Jake Allen,13,allenja01
Frederik Andersen,13,anderfr01
Petr Mrazek,12,mrazepe01
Dan Vladar,12,vladada01
Anton Forsberg,11,forsban01
John Gibson,11,gibsojo02
Joonas Korpisalo,11,korpijo01
Jonathan Quick,11,quickjo01
Arvid Soderblom,10,soderar01
James Reimer,10,reimeja01
Thatcher Demko,10,demkoth01
Connor Ingram,9,ingraco01
Eric Comrie,9,comrier01
Jonas Johansson,9,johanjo03
Philipp Grubauer,8,grubaph01
Leevi Merilinen,8,merille01
Daniil Tarasov,7,tarasda02
Jakub Dobes,7,dobesja01
Jet Greaves,7,greavje01
Ivan Fedotov,6,fedotiv01
Vitek Vanecek,5,vanecvi01
Aleksei Kolosov,5,kolosal01
Joel Blomqvist,4,blomqjo01
Yaroslav Askarov,4,askarya01
Dustin Tokarski,4,tokardu01
Semyon Varlamov,3,varlasi01
Spencer Martin,3,martisp01
Nico Daws,3,dawsni01
Dennis Hildeby,3,hildede01
Marcus Hogberg,2,hogbema01
Ville Husso,2,hussovi01
Cayden Primeau,2,primeca01
Arturs Silovs,2,silovar01
Devon Levi,2,levide01
Jaxson Stauber,2,staubja01
Akira Schmid,2,schmiak01
Matt Murray,1,murrama02
Mads Sogaard,1,sogaama01
Nikita Tolopilo,1,tolopni01
Sebastian Cossa,1,cossase01
Louis Domingue,1,dominlo01
Erik Portillo,1,portier01
Matt Villalta,1,villama01
Georgi Romanov,0,romange01
Drew Commesso,0,commedr01
Trent Miner,0,minertr01
Olivier Rodrigue,0,rodriol01
Jakub Skarek,0,skareja01
Jesper Wallstedt,0,wallsje01
Pheonix Copley,0,copleph01
Brandon Halverson,0,halvebr01
Kaapo Kahkonen,0,kahkoka01
Niklas Kokko,0,kokkoni01
Tristan Lennox,0,lennotr01
Victor Ostman,0,ostmavi01
Yaniv Perets,0,peretya01
Hunter Shepard,0,shepahu01
Clay Stevenson,0,stevecl01
Ales Stezka,0,stezkal01
